"CMD_MIL_AREA","UF","MUNICIPIO","ENTIDADE","CURSO","LOCAL","INICIO","TERMINO","CARGA_HORARIA","EFETIVO_INICIAL","EFETIVO_FINAL","VALOR_HORA_AULA","VALOR_TOTAL",,
"CMA","AC","Rio Branco","SENAI","Mecânica Básica Auto","SENAI",7-nov,6-dez,"160 ","20 ","20 ","R$ 5,78","R$ 18.496,00",,
"CMA","AC","Rio Branco","SENAC","Récnicas Básicas de Garçom","SENAI","7-nov",6-dez,"160 ","20 ","20 ","R$ 5,75","R$ 18.400,00",,
"CMNE","AL","Maceió","SENAI","Eletricista de Automóveis","SENAI",22-ago,26-out,"180 ","6 ","6 ","R$ 4,42","R$ 4.770,04",,
"CMNE","AL","Maceió","SENAI","Eletricista predial de baixa tensão","SENAI",22-ago,20-set,"220 ","2 ","2 ","R$ 5,07","R$ 2.230,01",,
"CMNE","AL","Maceió","SENAI","Refrigeração Doméstica","SENAI",5-set,22-set,180,1,1,"R$ 5,64","R$ 1.015,00",,
"CMNE","AL","Maceió","SENAI","Básico de Segurança de instalações e Sv de Eletricidade","SENAI",29-ago,28-nov,"40 ","2 ","2 ","R$ 9,00","R$ 720,00",,
"CMNE","AL","Maceió","SENAI","Procedimentos Básicos de Instalação e Mnt de Condicionadores de Ar SPLIT","SENAI",22-ago,26-out,"80 ","2 ","2 ","R$ 8,50","R$ 1.360,00",,
"CMNE","AL","Maceió","SENAC","Almoxarife","SENAC",5-set,24-nov,"160 ","2 ","2 ","R$ 2,25","R$ 720,00",,
"CMNE","AL","Maceió","SENAC","Assistente Administrativo","SENAC",12-set,9-nov,"160 ","4 ","4 ","R$ 2,38","R$ 1.520,00",,
"CMNE","AL","Maceió","SENAI","Balconista de Farmácia","SENAC",19-set,23-set,"270 ","1 ","1 ","R$ 2,67","R$ 720,00",,
"CMNE","AL","Maceió","SENAC","Camareiro em Meios de Hospedagem","SENAC",29-ago,18-nov,"160 ","2 ","2 ","R$ 3,00","R$ 960,00",,
"CMNE","AL","Maceió","SENAC","Confeiteiro","SENAC",26-set,27-dez,"300 ","1 ","1 ","R$ 6,33","R$ 1.900,00",,
"CMNE","AL","Maceió","SENAC","Cozinha Básica","SENAC",29-ago,18-nov,"20 ","4 ","4 ","R$ 11,00","R$ 880,00",,
"CMNE","AL","Maceió","SENAC","Culinária com Tec de Congelamento","SENAC",22-ago,27-set,"20 ","4 ","4 ","R$ 10,00","R$ 800,00",,
"CMNE","AL","Maceió","SENAC","Culinária Natalina","SENAC",26-set,27-dez,"20 ","4 ","4 ","R$ 14,00","R$ 1.120,00",,
"CMNE","AL","Maceió","SENAC","Doces e Salgados","SENAC",7-nov,18-nov,"40 ","2 ","2 ","R$ 7,50","R$ 600,00",,
"CMNE","AL","Maceió","SENAC","Tortas Finas","SENAC",22-ago,27-ago,"20 ","4 ","4 ","R$ 12,50","R$ 1.000,00",,
"CMNE","AL","Maceió","SENAC","Montador e Reparador de Computadores","SENAC",5-set,24-nov,"160 ","2 ","2 ","R$ 5,31","R$ 1.700,00",,
"CMNE","AL","Maceió","SENAC","Redes de Computadores","SENAC",22-ago,27-set,"100 ","1 ","1 ","R$ 8,50","R$ 850,00",,
"CMNE","AL","Maceió","SENAC","CorelDRAW","SENAC",7-nov,18-nov,"40 ","2 ","2 ","R$ 7,50","R$ 600,00",,
"CMNE","AL","Maceió","SENAC","Photoshop","SENAC",19-set,30-set,"60 ","2 ","2 ","R$ 5,00","R$ 600,00",,
"CMNE","AL","Maceió","SENAC","Ilustrador, Photoshop, Designer","SENAC",22-ago,11-out,"110 ","2 ","2 ","R$ 6,36","R$ 1.400,00",,
"CMNE","AL","Maceió","SENAC","Informática Básica - Windows, Word, Excel, power Point e Internet","SENAC",22-ago,11-out,"100 ","6 ","6 ","R$ 5,50","R$ 3.300,00",,
"CMA","AM","Barcelos","CETAM","Eletricista de baixa tensão","3º BIS",7/nov,25/nov,"160 ","20 ",20,"R$ 3,12","R$ 9.970,00",,
"CMA","AM","Humaitá","CETAM","Instalador e reparador de ar condicionado","54º BIS",7/nov,25/nov,"160 ","20 ",20,"R$ 3,12","R$ 9.979,74",,
"CMA","AM","Manaus","CETAM","Instalador hidráulico","Cia C 12ª RM(Prefeitura Militar)",31-out,30-nov,"160 ","30 ",30,"R$ 2,08","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Eletricista de baixa tensão Turma I","Cia C 12ª RM(Prefeitura Militar)",22/ago,28/set,"160 ","30 ",29,"R$ 1,14","R$ 5.454,55",,
"CMA","AM","Manaus","CETAM","Eletricista de baixa tensão Turma II","Cia C 12ª RM(Prefeitura Militar)",17/out,17/nov,"160 ","25 ",25,"R$ 1,14","R$ 4.545,45",,
"CMA","AM","Manaus","CETAM","Pintor de obras Turma I","Cia C 12ª RM(Prefeitura Militar)",14/nov,14/dez,"160 ","20 ",20,"R$ 3,13","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Pintor de obras Turma II","29ª CSM",25/out,25/nov,"160 ","20 ",20,"R$ 3,13","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Mecânico de motor diesel e gasolina","PqRMnt/12",9/mai,9/jun,"160 ","30 ",30,"R$ 0,00","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Mecânico de motor de popa","PqRMnt/12",29/ago,30/set,"160 ","32 ",31,"R$ 3,13","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Mecânico de automóveis","PqRMnt/12",29/ago,30/set,"160 ","31 ",31,"R$ 3,13","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Eletricista de automóveis","PqRMnt/12",8/jul,18/ago,"160 ","22 ",20,"R$ 3,12","R$ 9.000,00",,
"CMA","AM","Manaus","CETAM","Borracheiro/Balanceador","PqRMnt/12",17/out,24/nov,"160 ","10 ","10 ","R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Soldador elétrico","PqRMnt/12",17/out,24/nov,"160 ","20 ","20 ","R$ 3,12","R$ 12.000,00",,
"CMA","AM","Manaus","CETAM","Instalador e rep. de ar condicionado","PqRMnt/12",17/out,24/nov,"160 ","38 ","38 ","R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","DETRAN","Mudança de Categoria de CNH (C; D; e E)","PqRMnt/12",2/mai,11/jun,"160 ","65 ",65,"R$ 5,12","R$ 53.240,00",,
"CMA","AM","Manaus","DETRAN","Mudança de Categoria de CNH (C; D; e E)","PqRMnt/12",13/jun,9/jul,"160 ","32 ",31,"R$ 5,12","R$ 26.210,00",,
"CMA","AM","Manaus","DETRAN","Mudança de Categoria de CNH (C; D; e E)","PqRMnt/12",5/out,10/dez,"160 ","30 ","30 ","R$ 5,12","R$ 24.550,00",,
"CMA","AM","Manaus","DETRAN","Aplicador de revestimento cerâmico","1º BIS (Amv)",14/nov,14/dez,"160 ","20 ","30 ","R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","DETRAN","Panificação","1º BIS (Amv)",17/out,17/nov,"160 ","23 ",23,"R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Operador de computadores","4º CTA",17/out,24/nov,"160 ","31 ",31,"R$ 3,63","R$ 18.000,00",,
"CMA","AM","Manaus","CETAM","Montador e reparador de computadores","4º CTA",29/ago,5/out,"160 ","30 ",28,"R$ 4,00","R$ 19.200,00",,
"CMA","AM","Manaus","CETAM","Instalador e  reparador de  redes","4º CTA",17/out,24/nov,"160 ","30 ",30,"R$ 2,08","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Operação e manutenção de motosserra","Cia C 2º Gpt E",12/set,29/set,"160 ","20 ",18,"R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Cozinha regional","Cia C 2º Gpt E",10/out,10/nov,"160 ","24 ",24,"R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Confeitaria (tortas e doces)","Cia C 2º Gpt E",14/nov,14/dez,"160 ","20 ",20,"R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Recepcionista em meios de hospedagem","CIGS",7/nov,2/dez,"160 ","20 ",20,"R$ 3,12","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Cozinha  industrial","Cia C CMA",9/mai,9/jun,"160 ","40 ",39,"R$ 3,13","R$ 20.000,00",,
"CMA","AM","Manaus","CETAM","Garçom","Cia C CMA",11/jul,11/ago,"160 ","22 ",19,"R$ 2,84","R$ 10.000,00",,
"CMA","AM","Manaus","CETAM","Jardinagem e  paisagismo Turma I","Cia C CMA",16/mai,16/jun,"160 ","20 ",19,"R$ 3,75","R$ 12.000,00",,
"CMA","AM","Manaus","CETAM","Jardinagem e  paisagismo Turma II","Cia C CMA",14/nov,14/dez,"160 ","20 ",20,"R$ 3,91","R$ 12.500,00",,
"CMA","AM","Manaus","CETAM","Pedreiro Turma I","Cia C CMA",22/ago,29/set,"160 ","20 ",18,"R$ 3,91","R$ 12.500,00",,
"CMA","AM","Manaus","EDITAL","Vigilante armado","7º BPE",7/nov,12/dez,"200 ","31 ",31,"R$ 5,97","R$ 37.000,00",,
"CMA","AM","S G Cachoeira","CETAM","Perfurador de poços artesianos  (*)","21º Cia E Cnst",22/fev,22/mar,"160 ","26 ",23,"R$ 0,73","R$ 3.000,00",,
"CMA","AM","S G Cachoeira","CETAM","Carregadeira, trator de esteira e multiuso (*)","21º Cia E Cnst",22/ago,22/set,"160 ","25 ",24,"R$ 3,12","R$ 12.500,00",,
"CMA","AM","S G Cachoeira","CETAM","pintor de obras","Cmdo 2ª Bda Inf Sl",9/mai,9/jun,"160 ","22 ",8,"R$ 3,12","R$ 10.884,51",,
"CMA","AM","S G Cachoeira","CETAM","Pedreiro","21º Cia E Cnst",9/mai,9/jun,"160 ","25 ",18,"R$ 0,75","R$ 3.000,00",,
"CMA","AM","Tabatinga","CETAM","Pedreiro","8º BIS",10/out,3/nov,"160 ","20 ",15,"R$ 4,69","R$ 15.000,00",,
"CMA","AM","Tabatinga","CETAM","Instalador e reparador de ar condicionado","8º BIS",7/nov,25/nov,"160 ","20 ",20,"R$ 4,69","R$ 15.000,00",,
"CMA","AM","Tabatinga","CETAM","Montador e reparador de computadores","8º BIS",4/jul,29/jul,"160 ","15 ",13,"R$ 2,54","R$ 6.100,00",,
"CMA","AM","Tabatinga","CETAM","Eletricista predial","8º BIS",10/out,28/out,"160 ","20 ",15,"R$ 4,69","R$ 15.000,00",,
"CMA","AM","Tefé","CETAM","Pintor de obras","Cia C 16ª Bda Inf Sl",10/out,3/nov,"160 ","20 ",18,"R$ 3,60","R$ 11.514,74",,
"CMA","AM","Tefé","CETAM","Garçom","Cia C 16ª Bda Inf Sl",10/out,3/nov,"160 ","20 ",19,"R$ 3,60","R$ 11.514,74",,
"CMA","AM","Tefé","CETAM","Mecânico de motores diesel e gasolina","16ª BaLog",28/jul,24/ago,"160 ","20 ",20,"R$ 3,60","R$ 11.514,74",,
"CMA","AM","Tefé","CETAM","Soldador elétrico","16ª BaLog",22/set,14/out,"160 ","20 ",19,"R$ 3,60","R$ 11.514,74",,
