FID,codmun,codmundv,uf,nome_mun,ric01,ric02,ric03,ric04,ric05,ric06,ric07,ric08,ric09,ric10,ric11,ric12,ric13,ric14,ric15,ric16,ric17,ric18,ric19,ric20,ric21,ric22,ric23,ric24,ric25,ric26,ric27,ric28,ric29,ric30,ric31,ric32,ric33,ric34,ric35,ric36,ric37,ric38,ric39,ric40,ric41,ric42,ric43,ric44,ric45,ric46,ric47,ric48,ric49,ric50,ric51,ric52,ric53,ric54,ric55,ric56,ric57,ric58,ric59,ric60,ric61,ric62,ric63,ric64,ric65,ric66,ric67,ric68,ric69,ric70,ric71,ric72,ric73,ric74,ric75,the_geom
HierarquiaUrbana_Regic2007.1,120033,1200336,AC,Mâncio Lima,13785,4672.321,49704.726,11724.6,2563.766,34219.683,26436.245,1196.677,5,Centro Local,,,Município Subordinado,0,,0,0,0,10,13.888889,6,8,5.063291,6,18,7.826087,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4,2.901705,22,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-72.89657302260764 -7.614369305748788)
HierarquiaUrbana_Regic2007.2,130020,1300201,AM,Atalaia do Norte,13682,76354.985,29027.972,5158.257,2035.076,20579.997,16995.375,1254.642,5,Centro Local,,,Município Subordinado,0,,0,0,0,5,6.944444,6,2,1.265823,6,7,3.043478,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,6,0,,,0,0,0,0,0,11,7,0,0,0,1,f,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-70.19255902089523 -4.372362057094076)
HierarquiaUrbana_Regic2007.3,130165,1301654,AM,Guajará,14102,8904.244,36564.246,10841.563,2106.842,22136.449,18535.667,1479.392,5,Centro Local,,,Município Subordinado,0,,0,0,0,8,11.111111,6,4,2.531646,6,12,5.217391,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,6,0,,,0,0,0,0,0,0,0,0,0,0,1,f,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-72.58457176441587 -7.546369532379041)
HierarquiaUrbana_Regic2007.4,120042,1200427,AC,Rodrigues Alves,12428,3304.559,51467.624,21946.104,1913.106,26706.552,21196.691,901.862,5,Centro Local,,,Município Subordinado,0,,0,0,0,2,2.777778,6,4,2.531646,6,6,2.608696,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-72.64757226209066 -7.7423699829542905)
HierarquiaUrbana_Regic2007.5,120020,1200203,AC,Cruzeiro do Sul,73948,7924.943,391942.593,56499.453,32784.393,277804.592,162615.979,24854.155,3B,Centro Subregional B,4b,Centro local B,Centro de Zona,3,Médio para fraco,5,6,7,40,55.555556,4,60,37.974684,5,100,43.478261,5,4,3,25941,7,1,1,0,1,0,0,0,0,7,2,1569,5,0,,,5,5,5,14,1.893222,111,6,3,0,39,6,e,6,e,6,e,6,e,6,e,3,f,6,e,7,e,6,e,,POINT (-72.6705722005244 -7.631369651363274)
HierarquiaUrbana_Regic2007.6,120039,1200393,AC,Porto Walter,8170,6135.544,25925.197,9474.382,965.106,15079.22,12616.108,406.489,5,Centro Local,,,Município Subordinado,0,,0,0,0,3,4.166667,6,3,1.898734,6,6,2.608696,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,11,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-72.74457336272224 -8.269371256390356)
HierarquiaUrbana_Regic2007.7,120035,1200351,AC,Marechal Thaumaturgo,13061,7743.828,37644.821,11461.48,1359,24277.101,21300.794,547.24,5,Centro Local,,,Município Subordinado,0,,0,0,0,3,4.166667,6,2,1.265823,6,5,2.173913,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,22,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-72.79257455492944 -8.941372925711793)
HierarquiaUrbana_Regic2007.8,120032,1200328,AC,Jordão,6059,5428.765,23805.275,8209.183,858.99,14328.868,12083.666,408.234,5,Centro Local,,,Município Subordinado,0,,0,0,0,2,2.777778,6,2,1.265823,6,4,1.73913,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-71.8845718678606 -9.434375647328139)
HierarquiaUrbana_Regic2007.9,120060,1200609,AC,Tarauacá,32171,15553.43,164106.895,57326.33,8872.082,92052.326,63176.163,5856.157,4B,Centro de Zona B,,,Município Subordinado,2,Fraco,6,7,0,27,37.5,5,19,12.025316,5,46,20,6,2,1,5990,8,1,0,0,0,0,0,0,0,3,1,335,6,0,,,6,6,6,1,0.310839,11,7,5,0,6,1,f,1,f,0,,2,f,1,f,0,,1,f,0,,1,f,,POINT (-70.76656544870629 -8.161373751614049)
HierarquiaUrbana_Regic2007.10,130180,1301803,AM,Ipixuna,17177,13565.92,46047.751,11421.481,2953.939,29876.671,24425.208,1795.66,5,Centro Local,,,Município Subordinado,0,,0,0,0,7,9.722222,6,4,2.531646,6,11,4.782609,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,98,6,0,,,0,0,0,0,0,0,7,0,0,0,1,f,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-71.69556771672764 -7.051369243645902)
