no_cidade,nome_da_nidade,gid,valor,taxa
"Palminópolis","Palminópolis","7616","0","0"
"Ituberá","Ituberá","7965","2","2"
"Piau","Piau","10796","0","0"
"João Neiva","João Neiva","11105","1","1"
"Pato Branco","Pato Branco","5990","6","6"
"Mesópolis","Mesópolis","8604","0","0"
"Ivorá","Ivorá","9488","0","0"
"Vitor Meireles","Vitor Meireles","6421","1","1"
"Doutor Severiano","Doutor Severiano","6462","0","0"
"Nova Olinda do Norte","Nova Olinda do Norte","10177","3","3"
"Américo de Campos","Américo de Campos","8291","1","1"
"Monjolos","Monjolos","10702","0","0"
"Terenos","Terenos","9845","1","1"
"Curralinho","Curralinho","5616","11","11"
"Barão do Triunfo","Barão do Triunfo","9305","0","0"
"Paulistana","Paulistana","7046","1","1"
"Brodowski","Brodowski","8360","3","3"
"Armazém","Armazém","6152","0","0"
"Amaporã","Amaporã","5743","0","0"
"Pinhão","Pinhão","6001","0","0"
"Governador Mangabeira","Governador Mangabeira","7902","2","2"
"Bernardino Batista","Bernardino Batista","6623","1","1"
"Catingueira","Catingueira","6651","0","0"
"Epitaciolândia","Epitaciolândia","6876","2","2"
"Simões Filho","Simões Filho","8138","5","5"
"Herval","Herval","9421","1","1"
"José Raydan","José Raydan","10627","1","1"
"Formiga","Formiga","10502","1","1"
"Santa Vitória do Palmar","Santa Vitória do Palmar","9643","4","4"
"Central","Central","7856","1","1"
"Frei Miguelinho","Frei Miguelinho","9912","3","3"
"Jandaíra","Jandaíra","6484","1","1"
"Tibagi","Tibagi","6110","1","1"
"Roseira","Roseira","8768","0","0"
"Salto do Jacuí","Salto do Jacuí","9628","3","3"
"Guaramiranga","Guaramiranga","7184","1","1"
"Andorinha","Andorinha","7777","1","1"
"Tucuruí","Tucuruí","5711","8","8"
"Atalaia","Atalaia","10036","5","5"
"Santo Cristo","Santo Cristo","9651","0","0"
"Jardim","Jardim","7211","3","3"
"Paranapuã","Paranapuã","8674","1","1"
"Presidente Dutra","Presidente Dutra","9204","0","0"
"Ivatuba","Ivatuba","5898","0","0"
"Ipuaçu","Ipuaçu","6250","1","1"
"Sorriso","Sorriso","7425","3","3"
"Porto União","Porto União","6337","2","2"
"Taquari","Taquari","9714","3","3"
"Boa Vista do Buricá","Boa Vista do Buricá","9316","2","2"
"Monção","Monção","9175","5","5"
"Presidente Castelo Branco","Presidente Castelo Branco","6017","0","0"
"Tupã","Tupã","8887","2","2"
"Muribeca","Muribeca","7727","0","0"
"Juruti","Juruti","5635","1","1"
"Batalha","Batalha","10039","2","2"
"Cubatão","Cubatão","8420","5","5"
"Silvânia","Silvânia","7666","2","2"
"Rio Negrinho","Rio Negrinho","6352","1","1"
"Frutuoso Gomes","Frutuoso Gomes","6472","1","1"
"Caturité","Caturité","6653","1","1"
"Missão Velha","Missão Velha","7229","9","9"
"Nova Trento","Nova Trento","6304","1","1"
"Nantes","Nantes","8631","2","2"
"São Lourenço da Mata","São Lourenço da Mata","10003","2","2"
"Planaltina do Paraná","Planaltina do Paraná","6006","0","0"
"Braga","Braga","9327","1","1"
"Magalhães de Almeida","Magalhães de Almeida","9163","2","2"
"Boracéia","Boracéia","8353","1","1"
"Colônia do Piauí","Colônia do Piauí","6953","2","2"
"Montanha","Montanha","11113","1","1"
"Marapoama","Marapoama","8595","1","1"
"Sentinela do Sul","Sentinela do Sul","9698","0","0"
"Alagoinhas","Alagoinhas","7769","8","8"
"Sud Mennucci","Sud Mennucci","8853","1","1"
"Sapopema","Sapopema","6092","1","1"
"Alcinópolis","Alcinópolis","9770","0","0"
"Pedra Dourada","Pedra Dourada","10783","0","0"
"Curimatá","Curimatá","6959","4","4"
"Sagrada Família","Sagrada Família","9626","1","1"
"Edéia","Edéia","7522","1","1"
"Potiretama","Potiretama","7262","3","3"
"Itaquara","Itaquara","7958","3","3"
"Maravilhas","Maravilhas","10669","1","1"
"Doutor Ricardo","Doutor Ricardo","9411","0","0"
"José Bonifácio","José Bonifácio","8561","0","0"
"Luzilândia","Luzilândia","7011","5","5"
"Japorã","Japorã","9811","2","2"
"Carlinda","Carlinda","7326","3","3"
"Senador La Rocque","Senador La Rocque","9251","3","3"
"Campina das Missões","Campina das Missões","9341","1","1"
"Buíque","Buíque","9877","4","4"
"Guarani das Missões","Guarani das Missões","9461","1","1"
"Guararema","Guararema","8478","0","0"
"Armação dos Búzios","Armação dos Búzios","8183","7","7"
"Fernando Prestes","Fernando Prestes","8449","0","0"
"Sapucaia","Sapucaia","5701","0","0"
"Parnaíba","Parnaíba","7042","16","16"
"Sarzedo","Sarzedo","10980","3","3"
"Ministro Andreazza","Ministro Andreazza","6855","1","1"
"Agrolândia","Agrolândia","6135","1","1"
"Capela Nova","Capela Nova","10344","0","0"
"Santa Bárbara do Pará","Santa Bárbara do Pará","5680","2","2"
"Leopoldo de Bulhões","Leopoldo de Bulhões","7574","1","1"
"Lagoa do Tocantins","Lagoa do Tocantins","8982","1","1"
"Lençóis","Lençóis","7993","3","3"
"Riachão do Jacuípe","Riachão do Jacuípe","8085","2","2"
"Nova Campina","Nova Campina","8639","0","0"
"Inhapi","Inhapi","10068","2","2"
"Palmeiras","Palmeiras","8050","1","1"
"Padre Carvalho","Padre Carvalho","10752","0","0"
"Pedra Bonita","Pedra Bonita","10780","0","0"
"São Miguel do Guamá","São Miguel do Guamá","5699","2","2"
"Luís Correia","Luís Correia","7010","9","9"
"Medeiros","Medeiros","10689","0","0"
"Cachoeira do Sul","Cachoeira do Sul","9332","3","3"
"Madalena","Madalena","7218","2","2"
"Cajuru","Cajuru","8377","2","2"
"Novo Planalto","Novo Planalto","7608","0","0"
"Iuiú","Iuiú","7966","2","2"
"Areias","Areias","8311","0","0"
"Acauã","Acauã","6892","1","1"
"Rio de Contas","Rio de Contas","8090","1","1"
