CNS,Situação,Nome,UF,Município,Endereço,Bairro,CEP,Column
26,Inativo,OFICIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS,RO,PIMENTA BUENO,"AV. CASTELO BRANCO, 1065, SALA 08",CENTRO,76970000,
91,Ativo,SERVENTIA REGISTRAL DAS PESSOAS NATURAIS DA COMARCA DE ANDRADAS,MG,ANDRADAS,"RUA GERALDO CALIXTO, 151 C",CENTRO,37795000,
182,Ativo,CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DE SÃO MANUEL,SP,SAO MANUEL,"RUA SETE DE SETEMBRO ,391",CENTRO,18650000,
190,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE ARCÂNGELO,MG,SAO JOAO DEL REI,"RUA ROSSINI BACCARINI, 132",TEJUCO,36300162,
208,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO PEDRO DO AVAÍ,MG,MANHUACU,"PRAÇA EUZEBIO GONÇALVES DUTRA, 28, SÃO PEDRO DO AVAÍ",CENTRO,36906000,
265,Ativo,CARTORIO DO 1º OFICIO DE CAMPOS SALES,CE,CAMPOS SALES,RUA 10 DE NOVEMBRO Nº 109,CENTRO,63150000,
331,Ativo,CARTÓRIO SANTOS LIMA,PB,AROEIRAS,"RUA NECO DE ANDRADE, 60",CENTRO,58489000,
356,Ativo,CARTORIO DO REGISTRO CIVIL E NOTAS DE CATUJI,MG,CATUJI,"RUA JOVELINO MACIEL, 30 A",CENTRO,39816000,
364,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS DE RECREIO,MG,RECREIO,"RUA FERREIRA NETO, 79",CENTRO,36740000,
372,Ativo,CARTÓRIO SCALIONI,MG,MONSENHOR PAULO,"RUA MANOEL VICENTE, 133",CENTRO,37405000,
406,Inativo,CARTÓRIO NERI VASCONCELOS-REGISTRO CIVIL DO DISTRITO DE UBAÚNA,CE,COREAÚ,RUA DO COMÉRCIO,CENTRO,62168000,
422,Ativo,CARTÓRIO DE REGISTRO E NOTAS DE SENHORA DA PENHA,MG,FERNANDES TOURINHO,"RUA JOAQUIM MENDONÇA, N 374",CENTRO,35136000,
448,Ativo,CARTÓRIO ÚNICO DE REGISTRO CIVIL E DE IMÓVEIS,PI,SAO JOSE DO PIAUI,"RUA SÃO PEDRO, N° 192",CENTRO,64625000,
505,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS,TO,FORTALEZA DO TABOCAO,"AV. VITORIA REGIA, Nº 90",SETOR CENTENARIO,77708000,
570,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SÃO DOMINGOS,MG,SANTO ANTONIO DO AVENTUREIRO,"PRACA 04 DE AGOSTO, 08,",CENTRO,36675000,
588,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DE PAPAGAIOS,MG,PAPAGAIOS,"RUA ADELINA VIEIRA CAMPOS, 80-A",CIDADE NOVA,35669000,
596,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE TAPARUBA,MG,TAPARUBA,"RUA MARIANO PEREIRA, 353",CENTRO,36953000,
604,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PERDILÂNDIA,MG,SANTA VITORIA,"AVENIDA RIO GRANDE DO SUL, 1.266",CENTRO,38320000,
646,Ativo,SERVIÇO DISTRITAL DE PIÊN,PR,PIEN,"RUA ACRE, 162",CENTRO,83860000,
661,Ativo,REGISTRO DE IMÓVEIS ACUMULANDO PRECARIAMENTE REGISTRO CIVIL E TÍTULOS E DOCUMENTOS,PR,MANDAGUACU,"RUA BENÍCIO MOREIRA NIZA, N 128",CENTRO,87160000,
